Iteration 0 with T: 30
[2019-11-27 13:19] Train Step 0000/4000, Batch Size = 128, Examples/Sec = 5171.27, Accuracy = 0.10, Loss = 2.677
[2019-11-27 13:19] Train Step 0010/4000, Batch Size = 128, Examples/Sec = 6061.27, Accuracy = 0.06, Loss = 2.415
[2019-11-27 13:19] Train Step 0020/4000, Batch Size = 128, Examples/Sec = 6462.41, Accuracy = 0.05, Loss = 2.350
[2019-11-27 13:19] Train Step 0030/4000, Batch Size = 128, Examples/Sec = 8223.62, Accuracy = 0.13, Loss = 2.347
[2019-11-27 13:19] Train Step 0040/4000, Batch Size = 128, Examples/Sec = 8179.52, Accuracy = 0.09, Loss = 2.340
[2019-11-27 13:19] Train Step 0050/4000, Batch Size = 128, Examples/Sec = 8178.40, Accuracy = 0.11, Loss = 2.350
[2019-11-27 13:19] Train Step 0060/4000, Batch Size = 128, Examples/Sec = 8160.25, Accuracy = 0.14, Loss = 2.292
[2019-11-27 13:19] Train Step 0070/4000, Batch Size = 128, Examples/Sec = 8205.15, Accuracy = 0.10, Loss = 2.335
[2019-11-27 13:19] Train Step 0080/4000, Batch Size = 128, Examples/Sec = 8223.62, Accuracy = 0.05, Loss = 2.345
[2019-11-27 13:19] Train Step 0090/4000, Batch Size = 128, Examples/Sec = 6349.67, Accuracy = 0.11, Loss = 2.362
[2019-11-27 13:19] Train Step 0100/4000, Batch Size = 128, Examples/Sec = 8217.83, Accuracy = 0.13, Loss = 2.300
[2019-11-27 13:19] Train Step 0110/4000, Batch Size = 128, Examples/Sec = 8149.47, Accuracy = 0.12, Loss = 2.334
[2019-11-27 13:19] Train Step 0120/4000, Batch Size = 128, Examples/Sec = 8200.13, Accuracy = 0.14, Loss = 2.308
[2019-11-27 13:19] Train Step 0130/4000, Batch Size = 128, Examples/Sec = 8173.04, Accuracy = 0.13, Loss = 2.321
[2019-11-27 13:19] Train Step 0140/4000, Batch Size = 128, Examples/Sec = 8192.63, Accuracy = 0.11, Loss = 2.345
[2019-11-27 13:19] Train Step 0150/4000, Batch Size = 128, Examples/Sec = 6172.56, Accuracy = 0.12, Loss = 2.307
[2019-11-27 13:19] Train Step 0160/4000, Batch Size = 128, Examples/Sec = 8212.80, Accuracy = 0.12, Loss = 2.334
[2019-11-27 13:19] Train Step 0170/4000, Batch Size = 128, Examples/Sec = 6129.85, Accuracy = 0.08, Loss = 2.316
[2019-11-27 13:19] Train Step 0180/4000, Batch Size = 128, Examples/Sec = 8197.25, Accuracy = 0.10, Loss = 2.318
[2019-11-27 13:19] Train Step 0190/4000, Batch Size = 128, Examples/Sec = 8164.59, Accuracy = 0.12, Loss = 2.333
[2019-11-27 13:19] Train Step 0200/4000, Batch Size = 128, Examples/Sec = 8206.02, Accuracy = 0.13, Loss = 2.318
[2019-11-27 13:19] Train Step 0210/4000, Batch Size = 128, Examples/Sec = 6479.17, Accuracy = 0.12, Loss = 2.297
[2019-11-27 13:19] Train Step 0220/4000, Batch Size = 128, Examples/Sec = 6493.67, Accuracy = 0.14, Loss = 2.274
[2019-11-27 13:19] Train Step 0230/4000, Batch Size = 128, Examples/Sec = 8166.70, Accuracy = 0.08, Loss = 2.365
[2019-11-27 13:19] Train Step 0240/4000, Batch Size = 128, Examples/Sec = 8181.01, Accuracy = 0.10, Loss = 2.337
[2019-11-27 13:19] Train Step 0250/4000, Batch Size = 128, Examples/Sec = 6452.78, Accuracy = 0.09, Loss = 2.303
[2019-11-27 13:19] Train Step 0260/4000, Batch Size = 128, Examples/Sec = 8181.39, Accuracy = 0.08, Loss = 2.354
[2019-11-27 13:19] Train Step 0270/4000, Batch Size = 128, Examples/Sec = 8198.38, Accuracy = 0.15, Loss = 2.326
[2019-11-27 13:19] Train Step 0280/4000, Batch Size = 128, Examples/Sec = 8185.75, Accuracy = 0.12, Loss = 2.327
[2019-11-27 13:19] Train Step 0290/4000, Batch Size = 128, Examples/Sec = 8183.38, Accuracy = 0.13, Loss = 2.314
[2019-11-27 13:19] Train Step 0300/4000, Batch Size = 128, Examples/Sec = 8180.14, Accuracy = 0.07, Loss = 2.318
[2019-11-27 13:19] Train Step 0310/4000, Batch Size = 128, Examples/Sec = 8190.75, Accuracy = 0.12, Loss = 2.330
[2019-11-27 13:19] Train Step 0320/4000, Batch Size = 128, Examples/Sec = 6508.47, Accuracy = 0.09, Loss = 2.324
[2019-11-27 13:19] Train Step 0330/4000, Batch Size = 128, Examples/Sec = 8198.88, Accuracy = 0.11, Loss = 2.332
[2019-11-27 13:19] Train Step 0340/4000, Batch Size = 128, Examples/Sec = 6517.72, Accuracy = 0.09, Loss = 2.317
[2019-11-27 13:19] Train Step 0350/4000, Batch Size = 128, Examples/Sec = 8228.29, Accuracy = 0.09, Loss = 2.333
[2019-11-27 13:19] Train Step 0360/4000, Batch Size = 128, Examples/Sec = 8178.77, Accuracy = 0.09, Loss = 2.322
[2019-11-27 13:19] Train Step 0370/4000, Batch Size = 128, Examples/Sec = 8162.36, Accuracy = 0.07, Loss = 2.328
[2019-11-27 13:19] Train Step 0380/4000, Batch Size = 128, Examples/Sec = 8190.25, Accuracy = 0.12, Loss = 2.316
[2019-11-27 13:19] Train Step 0390/4000, Batch Size = 128, Examples/Sec = 8152.44, Accuracy = 0.05, Loss = 2.380
